ND      RADIUS  L1      L2
6	    12      6	    6	 
8	    16      8	    8	 
10	    20      10	    10	 
15	    30      15	    15	 
20	    40      20	    20	 
25	    50      25	    25	 
32	    64      32	    32	 
40	    80      40	    40	 
50	    100     50	    50	 
54	    108     54	    54	 
64	    128     64	    64	 
65	    130     65	    65	 
76	    152     76	    76	 
80	    160     80	    80	 
88	    176     88	    88	 
90	    180     90	    90	 
100	    200     100	    100	 
110	    220     110	    110	 
125	    250     125	    125	 
150	    300     150	    150	 
175	    350     175	    175	 
200	    400     200	    200	 
225	    450     225	    225	 
250	    500     250	    250	 
280	    560     280	    280	 
300	    600     300	    300	 
350	    700     350	    350	 
400	    800     400	    400	 
450	    900     450	    450	 
500	    1000    500	    500	 
550	    1100    550	    550	 
600	    1200    600	    600	 
650	    1300    650	    650	 
700	    1400    700	    700	 
750	    1500    750	    750	 
800	    1600    800	    800	 
850	    1700    850	    850	 
900	    1800    900	    900	 
950	    1900    950	    950	 
1000    2000    1000    1000 
1050    2100    1050    1050 
1100    2200    1100    1100 
1150    2300    1150    1150 
1200    2400    1200    1200 
1250    2500    1250    1250 
1300    2600    1300    1300 
1350    2700    1350    1350 
1400    2800    1400    1400 
1473    2946    1473    1473 
1500    3000    1500    1500 
1600    3200    1600    1600 
1700    3400    1700    1700 
1800    3600    1800    1800 
1900    3800    1900    1900 
1950    3900    1950    1950 
2000    4000    2000    2000 
2100    4200    2100    2100 
2200    4400    2200    2200 
2250    4500    2250    2250 
2400    4800    2400    2400 
2600    5200    2600    2600 
2800    5600    2800    2800 
3000    6000    3000    3000 
3200    6400    3200    3200 
3400    6800    3400    3400 
3600    7200    3600    3600 
3800    7600    3800    3800 
4000    8000    4000    4000 
4	    8       4	    4	 
5	    10      5	    5	 
9	    18      9	    9	 
11	    22      11	    11	 
12	    24      12	    12	 
13	    26      13	    13	 
14	    28      14	    14	 
16	    32      16	    16	 
18	    36      18	    18	 
22	    44      22	    22	 
28	    56      28	    28	 
35	    70      35	    35	 
42	    84      42	    42	 
102	    204     102	    102	 
108	    216     108	    108	 
114	    228     114	    114	 
126	    252     126	    126	 
132	    264     132	    132	 
140	    280     140	    140	 
275	    550     275	    275	 
630	    1260    630	    630	 
710	    1420    710	    710	 
712	    1428    712	    712	 
13.5    27      13.5    13.5 
17	    34      17	    17	 
17.2    34.4    17.2    17.2 
21.3    42.6    21.3    21.3 
23	    46      23	    23	 
26.9    53.8    26.9    26.9 
30	    60      30	    30	 
33	    66      33	    33	 
33.7    67.4    33.7    33.7 
38	    76      38	    38	 
42.4    84.8    42.4    42.4 
43	    86      43	    43	 
44.5    89      44.5    44.5 
48.3    96.6    48.3    48.3 
49	    98      49	    49	 
51	    102     51	    51	 
53	    106     53	    53	 
60	    120     60	    60	 
60.3    120.6   60.3    60.3 
63	    126     63	    63	 
68	    136     68	    68	 
69	    138     69	    69	 
70	    140     70	    70	 
75	    150     75	    75	 
76.1    152.2   76.1    76.1 
82	    164     82	    82	 
83	    166     83	    83	 
84	    168     84	    84	 
85	    170     85	    85	 
88.9    177.8   88.9    88.9 
102	    204     102	    102	 
103	    206     103	    103	 
104	    208     104	    104	 
105	    210     105	    105	 
106	    212     106	    106	 
127	    254     127	    127	 
128	    256     128	    128	 
129	    258     129	    129	 
131	    262     131	    131	 
139.7   279.4   139.7   139.7
152	    304     152	    152	 
153	    306     153	    153	 
154	    308     154	    154	 
155	    310     155	    155	 
156	    312     156	    156	 
160	    320     160	    160	 
168.3   336.6   168.3   168.3
177	    354     177	    177	 
178	    356     178	    178	 
202	    404     202	    202	 
203	    406     203	    203	 
204	    408     204	    204	 
205	    410     205	    205	 
206	    412     206	    206	 
210	    420     210	    210	 
219.1   438.2   219.1   219.1
228	    456     228	    228	 
252	    504     252	    252	 
253	    506     253	    253	 
254	    508     254	    254	 
255	    510     255	    255	 
256	    512     256	    256	 
273	    546     273	    273	 
278	    556     278	    278	 
302	    604     302	    302	 
303	    606     303	    303	 
304	    608     304	    304	 
305	    610     305	    305	 
306	    612     306	    306	 
315	    630     315	    315	 
323.9   647.8   323.9   323.9
353	    706     353	    353	 
355	    710     355	    355	 
356	    712     356	    356	 
403	    806     403	    403	 
404	    808     404	    404	 
406	    812     406	    406	 
454	    908     454	    454	 
456	    912     456	    456	 
504	    1008    504	    504	 
506	    1012    506	    506	 
554	    1108    554	    554	 
560	    1120    560	    560	 
604	    1208    604	    604	 
606	    1212    606	    606	 
608	    1216    608	    608	 
711	    1422    711	    711	 
813	    1626    813	    813	 
914	    1928    914	    914	 
1016	2032    1016	1016	
123	    246     123	    123	 
114.3   228.6   114.3   114.3
